id,kanji,strokes,onreading,kunreading
727,索,10,saku,-
728,策,12,saku,-
729,酢,12,saku,su
730,搾,13,saku,shibo(ru)
731,錯,16,saku,-
732,咲,9,-,sa(ku)
733,冊,5,"satsu, 	saku",-
734,札,5,satsu,fuda
735,刷,8,satsu,su(ru)
736,刹,8,"satsu, setsu",-
737,拶,9,satsu,-
738,殺,10,"satsu, [sai], [setsu]",koro(su)
739,察,14,satsu,-
740,撮,15,satsu,to(ru)
741,擦,17,satsu,"su(ru), su(reru)"
742,雑,14,"zatsu, 	zoo",-
743,皿,5,-,sara
744,三,3,san,"mi, mi(tsu), mit(tsu)"
745,山,3,san,yama
746,参,8,san,mai(ru)
747,桟,10,san,-
748,蚕,10,san,kaiko
749,惨,11,"san, 	zan",miji(me)
750,産,11,san,"u(mu), u(mareru), ubu"
751,傘,12,san,kasa
752,散,12,san,"chi(ru), chi(rasu), chi(rakasu), chi(rakaru)"
753,算,14,san,-
754,酸,14,san,su(i)
755,賛,15,san,-
756,残,10,zan,"noko(ru), noko(su)"
757,斬,11,zan,ki(ru)
758,暫,15,zan,-
759,士,3,shi,-
760,子,3,"shi, 	su",ko
761,支,4,shi,sasa(eru)
762,止,4,shi,"to(maru), to(meru)"
763,氏,4,shi,uji
764,仕,5,"shi, [ji]",tsuka(eru)
765,史,5,shi,-
766,司,5,shi,-
767,四,5,shi,"yo, yo(tsu), yot(tsu), yon"
768,市,5,shi,ichi
769,矢,5,shi,ya
770,旨,6,shi,mune
771,死,6,shi,shi(nu)
772,糸,6,shi,ito
773,至,6,shi,ita(ru)
774,伺,7,shi,ukaga(u)
775,志,7,shi,"kokoroza(su), kokorozashi"
776,私,7,shi,"watakushi, watashi"
777,使,8,shi,tsuka(u)
778,刺,8,shi,"sa(su), sa(saru)"
779,始,8,shi,"haji(meru), haji(maru)"
780,姉,8,shi,ane
781,枝,8,shi,eda
782,祉,8,shi,-
783,肢,8,shi,-
784,姿,9,shi,sugata
785,思,9,shi,omo(u)
786,指,9,shi,"yubi, sa(su)"
787,施,9,"shi, 	se",hodoko(su)
788,師,10,shi,-
789,恣,10,shi,-
790,紙,10,shi,kami
791,脂,10,shi,abura
792,視,11,shi,-
793,紫,12,shi,murasaki
794,詞,12,shi,-
795,歯,12,shi,ha
796,嗣,13,shi,-
797,試,13,shi,"kokoro(miru), tame(su)"
798,詩,13,shi,-
799,資,13,shi,-
800,飼,13,shi,ka(u)
801,誌,14,shi,-
802,雌,14,shi,"me, mesu"
803,摯,15,shi,-
804,賜,15,shi,tamawa(ru)
805,諮,16,shi,haka(ru)
806,示,5,"ji, 	shi",shime(su)
807,字,6,ji,aza
808,寺,6,ji,tera
809,次,6,"ji, 	shi","tsu(gu), tsugi"
810,耳,6,ji,mimi
811,自,6,"ji, 	shi",mizuka(ra)
812,似,7,ji,ni(ru)
